#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
436	106.199	7981	0.723649
437	106.443	7892	0.715579
438	106.686	7890	0.715398
439	106.930	7895	0.715851
440	107.174	7940	0.719931
441	107.418	7914	0.717574
442	107.662	7801	0.707328
443	107.906	8035	0.728545
444	108.150	8018	0.727004
445	108.393	7904	0.716667
446	108.637	8239	0.747042
447	108.881	8325	0.75484
448	109.125	8374	0.759283
449	109.369	8381	0.759917
450	109.613	8888	0.805888
451	109.857	8883	0.805434
452	110.100	9245	0.838258
453	110.344	9564	0.867182
454	110.588	10168	0.921947
455	110.832	10945	0.992399
456	111.076	12401	1.12442
457	111.320	13910	1.26124
458	111.564	15322	1.38927
459	111.808	16682	1.51258
460	112.051	17002	1.5416
461	112.295	16204	1.46924
462	112.539	14523	1.31682
463	112.783	12479	1.13149
464	113.027	10571	0.958488
465	113.271	9228	0.836716
466	113.515	8228	0.746045
467	113.758	7808	0.707963
468	114.002	7616	0.690554
469	114.246	7500	0.680036
470	114.490	7535	0.683209
471	114.734	7643	0.693002
472	114.978	7800	0.707237
473	115.222	7932	0.719206
474	115.465	8314	0.753842
475	115.709	8814	0.799178
476	115.953	9190	0.833271
477	116.197	9112	0.826198
478	116.441	8940	0.810603
479	116.685	8770	0.795189
480	116.929	8326	0.75493
481	117.173	8130	0.737159
482	117.416	7575	0.686836
483	117.660	7329	0.664531
484	117.904	7301	0.661992
485	118.148	7064	0.640503
486	118.392	6986	0.633431
487	118.636	6895	0.62518
488	118.880	7045	0.63878
489	119.123	7005	0.635154
490	119.367	7137	0.647122
491	119.611	7053	0.639506
492	119.855	7270	0.659181
493	120.099	8113	0.735617
494	120.343	10161	0.921313
495	120.587	15840	1.43624
496	120.831	28580	2.59139
497	121.074	51326	4.6538
498	121.318	89036	8.07302
499	121.562	138261	12.5363
500	121.806	191961	17.4054
501	122.050	233049	21.1309
502	122.294	247205	22.4144
503	122.538	228949	20.7591
504	122.781	184538	16.7323
505	123.025	132193	11.9861
506	123.269	82559	7.48574
507	123.513	46431	4.20997
508	123.757	24662	2.23614
509	124.001	13626	1.23549
510	124.245	8782	0.796277
511	124.488	6929	0.628262
512	124.732	6300	0.57123
513	124.976	6279	0.569326
514	125.220	6361	0.576761
