#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
519	126.439	3013	0.250413
520	126.683	2961	0.246092
521	126.927	2977	0.247421
522	127.171	3001	0.249416
523	127.415	2948	0.245011
524	127.659	2905	0.241437
525	127.903	2843	0.236284
526	128.146	2834	0.235536
527	128.390	2978	0.247504
528	128.634	3031	0.251909
529	128.878	2878	0.239193
530	129.122	2936	0.244014
531	129.366	2887	0.239941
532	129.610	2817	0.234124
533	129.853	2941	0.244429
534	130.097	2958	0.245842
535	130.341	2918	0.242518
536	130.585	2979	0.247587
537	130.829	2772	0.230384
538	131.073	2933	0.243764
539	131.317	2839	0.235952
540	131.561	2835	0.23562
541	131.804	2910	0.241853
542	132.048	2827	0.234955
543	132.292	2891	0.240274
544	132.536	2872	0.238695
545	132.780	2949	0.245094
546	133.024	2850	0.236866
547	133.268	2859	0.237614
548	133.511	3006	0.249831
549	133.755	2887	0.239941
550	133.999	2826	0.234872
551	134.243	2819	0.23429
552	134.487	2959	0.245925
553	134.731	3043	0.252907
554	134.975	3141	0.261051
555	135.219	3497	0.290639
556	135.462	4446	0.369511
557	135.706	6005	0.499081
558	135.950	8359	0.694724
559	136.194	11061	0.91929
560	136.438	13314	1.10654
561	136.682	14302	1.18865
562	136.926	13482	1.1205
563	137.169	11381	0.945886
564	137.413	8631	0.717331
565	137.657	6249	0.51936
566	137.901	4456	0.370342
567	138.145	3489	0.289974
568	138.389	3242	0.269446
569	138.633	2915	0.242268
570	138.876	2915	0.242268
571	139.120	2857	0.237448
572	139.364	2818	0.234207
573	139.608	2732	0.227059
574	139.852	2774	0.23055
575	140.096	2718	0.225896
576	140.340	2884	0.239692
577	140.584	2852	0.237032
578	140.827	2746	0.228223
579	141.071	2839	0.235952
580	141.315	2812	0.233708
581	141.559	2937	0.244097
582	141.803	2862	0.237864
583	142.047	2834	0.235536
584	142.291	2845	0.236451
585	142.534	2823	0.234622
586	142.778	2906	0.24152
587	143.022	2901	0.241105
588	143.266	2876	0.239027
589	143.510	3036	0.252325
590	143.754	2956	0.245676
591	143.998	2997	0.249083
592	144.242	2935	0.243931
593	144.485	2873	0.238778
594	144.729	2875	0.238944
595	144.973	2874	0.238861
596	145.217	2905	0.241437
597	145.461	2969	0.246756
598	145.705	2930	0.243515
599	145.949	2899	0.240939
600	146.192	2951	0.24526
601	146.436	2849	0.236783
602	146.680	2970	0.246839
603	146.924	2845	0.236451
604	147.168	2915	0.242268
605	147.412	2803	0.23296
606	147.656	2890	0.240191
607	147.899	2812	0.233708
608	148.143	2934	0.243848
609	148.387	3023	0.251244
610	148.631	2995	0.248917
